"","","Fig. 7.  User Interface of Our Custom Labeling Tool.","",""
"Table 12","","","",""
"Token Counts per NER Label Across 300 Reviewed Requirement Speciﬁcations.","","","",""
"Label","Annotator 1","Annotator 2","Annotator 3","Total"
"O","7078","7162","6975","21,215"
"B-EFFECTOR","597","585","618","1800"
"I-EFFECTOR","492","485","539","1516"
"B-ACTUATOR","480","502","473","1455"
"I-ACTUATOR","343","369","355","1067"
"B-SENSOR","457","463","457","1377"
"I-SENSOR","630","633","618","1881"
"B-PREACTUATOR","116","136","116","368"
"I-PREACTUATOR","126","154","136","416"
"Total Tokens","10,319","10,489","10,287","31,095"
"Table 13","","","",""
"Inter-annotator agreement scores (Cohen’s Kappa).","","","",""
"Annotator Pair","","","","Kappa Score"
"Annotator 1 & 2","","","","0.856"
"Annotator 2 & 3","","","","0.789"
"Annotator 1 & 3","","","","0.924"
"Average","","","","0.856"
